VHF.Lib.B,VHF.Lib.A,UHF.Lib.B,UHF.Lib.A,SHF.Lib.B,SHF.Lib.A,VHF.Pro,VHF.SMM.B,VHF.SMM.A,VHF.Fron,UHF.Fron,HF.Cnaf.B,HF.Cnaf.A,HF.Cnaf.Ser,HF.Cnaf.Note,VHF.Cnaf.B,VHF.Cnaf.A,VHF.Cnaf.Ser,VHF.Cnaf.Note,UHF.Cnaf.B,UHF.Cnaf.A,UHF.Cnaf.Ser,UHF.Cnaf.Note
,,,,,,,,,172.86,,,,,,,,,,,,,
,,,,,,,,,172.8625,,,,,,,,,,,,,
,,,,,,,,,172.865,,,,,,,,,,,,,
,,,,,,,,,172.8675,,,,,,,,,,,,,
,,,,,,,,,172.87,,,,,,,,,,,,,
,,,,,,,,,172.8725,,,,,,,,,,,,,
,,,,,,,,,172.875,,,,,,,,,,,,,
,,,,,,,,,172.8775,,,,,,,,,,,,,
,,,,,,,,,172.88,,,,,,,,,,,,,
,,,,,,,,,172.8825,,,,,,,,,,,,,
,,,,,,,,,172.885,,,,,,,,,,,,,
,,,,,,,,,172.8875,,,,,,,,,,,,,
,,,,,,,,,172.89,,,,,,,,,,,,,
,,,,,,,,,172.8925,,,,,,,,,,,,,
,,,,,,,,,172.895,,,,,,,,,,,,,
,,,,,,,,,172.8975,,,,,,,,,,,,,
,,,,,,,,,172.9,,,,,,,,,,,,,
,,,,,,,,,172.9025,,,,,,,,,,,,,
,,,,,,,,,172.905,,,,,,,,,,,,,
,,,,,,,,,172.9075,,,,,,,,,,,,,
,,,,,,,,,172.91,,,,,,,,,,,,,
,,,,,,,,,172.9125,,,,,,,,,,,,,
,,,,,,,,,172.915,,,,,,,,,,,,,
,,,,,,,,,172.9175,,,,,,,,,,,,,
,,,,,,,,,172.92,,,,,,,,,,,,,
,,,,,,,,,172.9225,,,,,,,,,,,,,
,,,,,,,,,172.925,,,,,,,,,,,,,
,,,,,,,,,172.9275,,,,,,,,,,,,,
,,,,,,,,,172.93,,,,,,,,,,,,,
,,,,,,,,,172.9325,,,,,,,,,,,,,
,,,,,,,,,172.935,,,,,,,,,,,,,
,,,,,,,,,172.9375,,,,,,,,,,,,,
,,,,,,,,,172.94,,,,,,,,,,,,,
,,,,,,,,,172.9425,,,,,,,,,,,,,
,,,,,,,,,172.945,,,,,,,,,,,,,
,,,,,,,,,172.9475,,,,,,,,,,,,,
,,,,,,,,,172.95,,,,,,,,,,,,,
,,,,,,,,,172.9525,,,,,,,,,,,,,
,,,,,,,,,172.955,,,,,,,,,,,,,
,,,,,,,,,172.9575,,,,,,,,,,,,,
,,,,,,,,,172.96,,,,,,,,,,,,,
,,,,,,,,,172.9625,,,,,,,,,,,,,
,,,,,,,,,172.965,,,,,,,,,,,,,
,,,,,,,,,172.9675,,,,,,,,,,,,,
,,,,,,,,,172.97,,,,,,,,,,,,,
,,,,,,,,,172.9725,,,,,,,,,,,,,
,,,,,,,,,172.975,,,,,,,,,,,,,
,,,,,,,,,172.9775,,,,,,,,,,,,,
,,,,,,,,,172.98,,,,,,,,,,,,,
,,,,,,,,,172.9825,,,,,,,,,,,,,
,,,,,,,,,172.985,,,,,,,,,,,,,
,,,,,,,,,172.9875,,,,,,,,,,,,,
,,,,,,,,,172.99,,,,,,,,,,,,,
,,,,,,,,,172.9925,,,,,,,,,,,,,
,,,,,,,,,172.995,,,,,,,,,,,,,
,,,,,,,,,172.9975,,,,,,,,,,,,,
,,,,,,,,,173,,,,,,,,,,,,,
,,,,,,,,,173.0025,,,,,,,,,,,,,
,,,,,,,,,173.005,,,,,,,,,,,,,
,,,,,,,,,173.0075,,,,,,,,,,,,,
,,,,,,,,,173.01,,,,,,,,,,,,,
,,,,,,,,,173.0125,,,,,,,,,,,,,
,,,,,,,,,173.015,,,,,,,,,,,,,
,,,,,,,,,173.0175,,,,,,,,,,,,,
,,,,,,,,,173.02,,,,,,,,,,,,,
,,,,,,,,,173.0225,,,,,,,,,,,,,
,,,,,,,,,173.025,,,,,,,,,,,,,
,,,,,,,,,173.0275,,,,,,,,,,,,,
,,,,,,,,,173.03,,,,,,,,,,,,,
,,,,,,,,,173.0325,,,,,,,,,,,,,
,,,,,,,,,173.035,,,,,,,,,,,,,
,,,,,,,,,173.0375,,,,,,,,,,,,,
,,,,,,,,,173.04,,,,,,,,,,,,,
,,,,,,,,,173.0425,,,,,,,,,,,,,
,,,,,,,,,173.045,,,,,,,,,,,,,
,,,,,,,,,173.0475,,,,,,,,,,,,,
,,,,,,,,,173.05,,,,,,,,,,,,,
,,,,,,,,,173.0525,,,,,,,,,,,,,
,,,,,,,,,173.055,,,,,,,,,,,,,
,,,,,,,,,173.0575,,,,,,,,,,,,,
,,,,,,,,,173.06,,,,,,,,,,,,,
,,,,,,,,,173.0625,,,,,,,,,,,,,
,,,,,,,,,173.065,,,,,,,,,,,,,
,,,,,,,,,173.0675,,,,,,,,,,,,,
,,,,,,,,,173.07,,,,,,,,,,,,,
,,,,,,,,,173.0725,,,,,,,,,,,,,
,,,,,,,,,173.075,,,,,,,,,,,,,
,,,,,,,,,173.0775,,,,,,,,,,,,,
,,,,,,,,,173.08,,,,,,,,,,,,,
,,,,,,,,,173.0825,,,,,,,,,,,,,
,,,,,,,,,173.085,,,,,,,,,,,,,
,,,,,,,,,173.0875,,,,,,,,,,,,,
,,,,,,,,,173.09,,,,,,,,,,,,,
,,,,,,,,,173.0925,,,,,,,,,,,,,
,,,,,,,,,173.095,,,,,,,,,,,,,
,,,,,,,,,173.0975,,,,,,,,,,,,,
,,,,,,,,,173.1,,,,,,,,,,,,,
,,,,,,,,,173.1025,,,,,,,,,,,,,
,,,,,,,,,173.105,,,,,,,,,,,,,
,,,,,,,,,173.1075,,,,,,,,,,,,,
,,,,,,,,,173.11,,,,,,,,,,,,,
,,,,,,,,,173.1125,,,,,,,,,,,,,
,,,,,,,,,173.115,,,,,,,,,,,,,
,,,,,,,,,173.1175,,,,,,,,,,,,,
,,,,,,,,,173.12,,,,,,,,,,,,,
,,,,,,,,,173.1225,,,,,,,,,,,,,
,,,,,,,,,173.125,,,,,,,,,,,,,
,,,,,,,,,173.1275,,,,,,,,,,,,,
,,,,,,,,,173.13,,,,,,,,,,,,,
,,,,,,,,,173.1325,,,,,,,,,,,,,
,,,,,,,,,173.135,,,,,,,,,,,,,
,,,,,,,,,173.1375,,,,,,,,,,,,,
,,,,,,,,,173.14,,,,,,,,,,,,,
,,,,,,,,,173.1425,,,,,,,,,,,,,
,,,,,,,,,173.145,,,,,,,,,,,,,
,,,,,,,,,173.1475,,,,,,,,,,,,,
,,,,,,,,,173.15,,,,,,,,,,,,,
,,,,,,,,,173.1525,,,,,,,,,,,,,
,,,,,,,,,173.155,,,,,,,,,,,,,
,,,,,,,,,173.1575,,,,,,,,,,,,,
,,,,,,,,,173.16,,,,,,,,,,,,,
,,,,,,,,,173.1625,,,,,,,,,,,,,
,,,,,,,,,173.165,,,,,,,,,,,,,
,,,,,,,,,173.1675,,,,,,,,,,,,,
,,,,,,,,,173.17,,,,,,,,,,,,,
,,,,,,,,,173.1725,,,,,,,,,,,,,
,,,,,,,,,173.175,,,,,,,,,,,,,
,,,,,,,,,173.1775,,,,,,,,,,,,,
,,,,,,,,,173.18,,,,,,,,,,,,,
,,,,,,,,,173.1825,,,,,,,,,,,,,
,,,,,,,,,173.185,,,,,,,,,,,,,
,,,,,,,,,173.1875,,,,,,,,,,,,,
,,,,,,,,,173.19,,,,,,,,,,,,,
,,,,,,,,,173.1925,,,,,,,,,,,,,
,,,,,,,,,173.195,,,,,,,,,,,,,
,,,,,,,,,173.1975,,,,,,,,,,,,,
,,,,,,,,,173.2,,,,,,,,,,,,,
,,,,,,,,,173.2025,,,,,,,,,,,,,
,,,,,,,,,173.205,,,,,,,,,,,,,
,,,,,,,,,173.2075,,,,,,,,,,,,,
,,,,,,,,,173.21,,,,,,,,,,,,,
,,,,,,,,,173.2125,,,,,,,,,,,,,
,,,,,,,,,173.215,,,,,,,,,,,,,
,,,,,,,,,173.2175,,,,,,,,,,,,,
,,,,,,,,,173.22,,,,,,,,,,,,,
,,,,,,,,,173.2225,,,,,,,,,,,,,
,,,,,,,,,173.225,,,,,,,,,,,,,
,,,,,,,,,173.2275,,,,,,,,,,,,,
,,,,,,,,,173.23,,,,,,,,,,,,,
,,,,,,,,,173.2325,,,,,,,,,,,,,
,,,,,,,,,173.235,,,,,,,,,,,,,
,,,,,,,,,173.2375,,,,,,,,,,,,,
,,,,,,,,,173.24,,,,,,,,,,,,,
,,,,,,,,,173.2425,,,,,,,,,,,,,
,,,,,,,,,173.245,,,,,,,,,,,,,
,,,,,,,,,173.2475,,,,,,,,,,,,,
,,,,,,,,,173.25,,,,,,,,,,,,,
,,,,,,,,,173.2525,,,,,,,,,,,,,
,,,,,,,,,173.255,,,,,,,,,,,,,
,,,,,,,,,173.2575,,,,,,,,,,,,,
,,,,,,,,,173.26,,,,,,,,,,,,,
,,,,,,,,,173.2625,,,,,,,,,,,,,
,,,,,,,,,173.265,,,,,,,,,,,,,
,,,,,,,,,173.2675,,,,,,,,,,,,,
,,,,,,,,,173.27,,,,,,,,,,,,,
,,,,,,,,,173.2725,,,,,,,,,,,,,
,,,,,,,,,173.275,,,,,,,,,,,,,
,,,,,,,,,173.2775,,,,,,,,,,,,,
,,,,,,,,,173.28,,,,,,,,,,,,,
,,,,,,,,,173.2825,,,,,,,,,,,,,
,,,,,,,,,173.285,,,,,,,,,,,,,
,,,,,,,,,173.2875,,,,,,,,,,,,,
,,,,,,,,,173.29,,,,,,,,,,,,,
,,,,,,,,,173.2925,,,,,,,,,,,,,
,,,,,,,,,173.295,,,,,,,,,,,,,
,,,,,,,,,173.2975,,,,,,,,,,,,,
,,,,,,,,,173.3,,,,,,,,,,,,,
,,,,,,,,,173.3025,,,,,,,,,,,,,
,,,,,,,,,173.305,,,,,,,,,,,,,
,,,,,,,,,173.3075,,,,,,,,,,,,,
,,,,,,,,,173.31,,,,,,,,,,,,,
,,,,,,,,,173.3125,,,,,,,,,,,,,
,,,,,,,,,173.315,,,,,,,,,,,,,
,,,,,,,,,173.3175,,,,,,,,,,,,,
,,,,,,,,,173.32,,,,,,,,,,,,,
,,,,,,,,,173.3225,,,,,,,,,,,,,
,,,,,,,,,173.325,,,,,,,,,,,,,
,,,,,,,,,173.3275,,,,,,,,,,,,,
,,,,,,,,,173.33,,,,,,,,,,,,,
,,,,,,,,,173.3325,,,,,,,,,,,,,
,,,,,,,,,173.335,,,,,,,,,,,,,
,,,,,,,,,173.3375,,,,,,,,,,,,,
,,,,,,,,,173.34,,,,,,,,,,,,,
,,,,,,,,,173.3425,,,,,,,,,,,,,
,,,,,,,,,173.345,,,,,,,,,,,,,
,,,,,,,,,173.3475,,,,,,,,,,,,,
,,,,,,,,,173.35,,,,,,,,,,,,,
,,,,,,,,,173.3525,,,,,,,,,,,,,
,,,,,,,,,173.355,,,,,,,,,,,,,
,,,,,,,,,173.3575,,,,,,,,,,,,,
,,,,,,,,,173.36,,,,,,,,,,,,,
,,,,,,,,,173.3625,,,,,,,,,,,,,
,,,,,,,,,173.365,,,,,,,,,,,,,
,,,,,,,,,173.3675,,,,,,,,,,,,,
,,,,,,,,,173.37,,,,,,,,,,,,,
,,,,,,,,,173.3725,,,,,,,,,,,,,
,,,,,,,,,173.375,,,,,,,,,,,,,
,,,,,,,,,173.3775,,,,,,,,,,,,,
,,,,,,,,,173.38,,,,,,,,,,,,,
,,,,,,,,,173.3825,,,,,,,,,,,,,
,,,,,,,,,173.385,,,,,,,,,,,,,
,,,,,,,,,173.3875,,,,,,,,,,,,,
,,,,,,,,,173.39,,,,,,,,,,,,,
,,,,,,,,,173.3925,,,,,,,,,,,,,
,,,,,,,,,173.395,,,,,,,,,,,,,
,,,,,,,,,173.3975,,,,,,,,,,,,,
,,,,,,,,,173.4,,,,,,,,,,,,,
,,,,,,,,,173.4025,,,,,,,,,,,,,
,,,,,,,,,173.405,,,,,,,,,,,,,
,,,,,,,,,173.4075,,,,,,,,,,,,,
,,,,,,,,,173.41,,,,,,,,,,,,,
,,,,,,,,,173.4125,,,,,,,,,,,,,
,,,,,,,,,173.415,,,,,,,,,,,,,
,,,,,,,,,173.4175,,,,,,,,,,,,,
,,,,,,,,,173.42,,,,,,,,,,,,,
,,,,,,,,,173.4225,,,,,,,,,,,,,
,,,,,,,,,173.425,,,,,,,,,,,,,
,,,,,,,,,173.4275,,,,,,,,,,,,,
,,,,,,,,,173.43,,,,,,,,,,,,,
,,,,,,,,,173.4325,,,,,,,,,,,,,
,,,,,,,,,173.435,,,,,,,,,,,,,
,,,,,,,,,173.4375,,,,,,,,,,,,,
,,,,,,,,,173.44,,,,,,,,,,,,,
,,,,,,,,,173.4425,,,,,,,,,,,,,
,,,,,,,,,173.445,,,,,,,,,,,,,
,,,,,,,,,173.4475,,,,,,,,,,,,,
,,,,,,,,,173.45,,,,,,,,,,,,,
,,,,,,,,,173.4525,,,,,,,,,,,,,
,,,,,,,,,173.455,,,,,,,,,,,,,
,,,,,,,,,173.4575,,,,,,,,,,,,,
,,,,,,,,,173.46,,,,,,,,,,,,,
,,,,,,,,,173.4625,,,,,,,,,,,,,
,,,,,,,,,173.465,,,,,,,,,,,,,
,,,,,,,,,173.4675,,,,,,,,,,,,,
,,,,,,,,,173.47,,,,,,,,,,,,,
,,,,,,,,,173.4725,,,,,,,,,,,,,
,,,,,,,,,173.475,,,,,,,,,,,,,
,,,,,,,,,173.4775,,,,,,,,,,,,,
,,,,,,,,,173.48,,,,,,,,,,,,,
,,,,,,,,,173.4825,,,,,,,,,,,,,
,,,,,,,,,173.485,,,,,,,,,,,,,
,,,,,,,,,173.4875,,,,,,,,,,,,,
,,,,,,,,,173.49,,,,,,,,,,,,,
,,,,,,,,,173.4925,,,,,,,,,,,,,
,,,,,,,,,173.495,,,,,,,,,,,,,
,,,,,,,,,173.4975,,,,,,,,,,,,,
,,,,,,,,,173.5,,,,,,,,,,,,,
,,,,,,,,,173.5025,,,,,,,,,,,,,
,,,,,,,,,173.505,,,,,,,,,,,,,
,,,,,,,,,173.5075,,,,,,,,,,,,,
,,,,,,,,,173.51,,,,,,,,,,,,,
,,,,,,,,,173.5125,,,,,,,,,,,,,
,,,,,,,,,173.515,,,,,,,,,,,,,
,,,,,,,,,173.5175,,,,,,,,,,,,,
,,,,,,,,,173.52,,,,,,,,,,,,,
,,,,,,,,,173.5225,,,,,,,,,,,,,
,,,,,,,,,173.525,,,,,,,,,,,,,
,,,,,,,,,173.5275,,,,,,,,,,,,,
,,,,,,,,,173.53,,,,,,,,,,,,,
,,,,,,,,,173.5325,,,,,,,,,,,,,
,,,,,,,,,173.535,,,,,,,,,,,,,
,,,,,,,,,173.5375,,,,,,,,,,,,,
,,,,,,,,,173.54,,,,,,,,,,,,,
,,,,,,,,,173.5425,,,,,,,,,,,,,
,,,,,,,,,173.545,,,,,,,,,,,,,
,,,,,,,,,173.5475,,,,,,,,,,,,,
,,,,,,,,,173.55,,,,,,,,,,,,,
,,,,,,,,,173.5525,,,,,,,,,,,,,
,,,,,,,,,173.555,,,,,,,,,,,,,
,,,,,,,,,173.5575,,,,,,,,,,,,,
,,,,,,,,,173.56,,,,,,,,,,,,,
,,,,,,,,,173.5625,,,,,,,,,,,,,
,,,,,,,,,173.565,,,,,,,,,,,,,
,,,,,,,,,173.5675,,,,,,,,,,,,,
,,,,,,,,,173.57,,,,,,,,,,,,,
,,,,,,,,,173.5725,,,,,,,,,,,,,
,,,,,,,,,173.575,,,,,,,,,,,,,
,,,,,,,,,173.5775,,,,,,,,,,,,,
,,,,,,,,,173.58,,,,,,,,,,,,,
,,,,,,,,,173.5825,,,,,,,,,,,,,
,,,,,,,,,173.585,,,,,,,,,,,,,
,,,,,,,,,173.5875,,,,,,,,,,,,,
,,,,,,,,,173.59,,,,,,,,,,,,,
,,,,,,,,,173.5925,,,,,,,,,,,,,
,,,,,,,,,173.595,,,,,,,,,,,,,
,,,,,,,,,173.5975,,,,,,,,,,,,,
,,,,,,,,,173.6,,,,,,,,,,,,,
,,,,,,,,,173.6025,,,,,,,,,,,,,
,,,,,,,,,173.605,,,,,,,,,,,,,
,,,,,,,,,173.6075,,,,,,,,,,,,,
,,,,,,,,,173.61,,,,,,,,,,,,,
,,,,,,,,,173.6125,,,,,,,,,,,,,
,,,,,,,,,173.615,,,,,,,,,,,,,
,,,,,,,,,173.6175,,,,,,,,,,,,,
,,,,,,,,,173.62,,,,,,,,,,,,,
,,,,,,,,,173.6225,,,,,,,,,,,,,
,,,,,,,,,173.625,,,,,,,,,,,,,
,,,,,,,,,173.6275,,,,,,,,,,,,,
,,,,,,,,,173.63,,,,,,,,,,,,,
,,,,,,,,,173.6325,,,,,,,,,,,,,
,,,,,,,,,173.635,,,,,,,,,,,,,
,,,,,,,,,173.6375,,,,,,,,,,,,,
,,,,,,,,,173.64,,,,,,,,,,,,,
,,,,,,,,,173.6425,,,,,,,,,,,,,
,,,,,,,,,173.645,,,,,,,,,,,,,
,,,,,,,,,173.6475,,,,,,,,,,,,,
,,,,,,,,,173.65,,,,,,,,,,,,,
,,,,,,,,,173.6525,,,,,,,,,,,,,
,,,,,,,,,173.655,,,,,,,,,,,,,
,,,,,,,,,173.6575,,,,,,,,,,,,,
,,,,,,,,,173.66,,,,,,,,,,,,,
,,,,,,,,,173.6625,,,,,,,,,,,,,
,,,,,,,,,173.665,,,,,,,,,,,,,
,,,,,,,,,173.6675,,,,,,,,,,,,,
,,,,,,,,,173.67,,,,,,,,,,,,,
,,,,,,,,,173.6725,,,,,,,,,,,,,
,,,,,,,,,173.675,,,,,,,,,,,,,
,,,,,,,,,173.6775,,,,,,,,,,,,,
,,,,,,,,,173.68,,,,,,,,,,,,,
,,,,,,,,,173.6825,,,,,,,,,,,,,
,,,,,,,,,173.685,,,,,,,,,,,,,
,,,,,,,,,173.6875,,,,,,,,,,,,,
,,,,,,,,,173.69,,,,,,,,,,,,,
,,,,,,,,,173.6925,,,,,,,,,,,,,
,,,,,,,,,173.695,,,,,,,,,,,,,
,,,,,,,,,173.6975,,,,,,,,,,,,,
,,,,,,,,,173.7,,,,,,,,,,,,,
,,,,,,,,,173.7025,,,,,,,,,,,,,
,,,,,,,,,173.705,,,,,,,,,,,,,
,,,,,,,,,173.7075,,,,,,,,,,,,,
,,,,,,,,,173.71,,,,,,,,,,,,,
,,,,,,,,,173.7125,,,,,,,,,,,,,
,,,,,,,,,173.715,,,,,,,,,,,,,
,,,,,,,,,173.7175,,,,,,,,,,,,,
,,,,,,,,,173.72,,,,,,,,,,,,,
,,,,,,,,,173.7225,,,,,,,,,,,,,
,,,,,,,,,173.725,,,,,,,,,,,,,
,,,,,,,,,173.7275,,,,,,,,,,,,,
,,,,,,,,,173.73,,,,,,,,,,,,,
,,,,,,,,,173.7325,,,,,,,,,,,,,
,,,,,,,,,173.735,,,,,,,,,,,,,
,,,,,,,,,173.7375,,,,,,,,,,,,,
,,,,,,,,,173.74,,,,,,,,,,,,,
,,,,,,,,,173.7425,,,,,,,,,,,,,
,,,,,,,,,173.745,,,,,,,,,,,,,
,,,,,,,,,173.7475,,,,,,,,,,,,,
,,,,,,,,,173.75,,,,,,,,,,,,,
,,,,,,,,,173.7525,,,,,,,,,,,,,
,,,,,,,,,173.755,,,,,,,,,,,,,
,,,,,,,,,173.7575,,,,,,,,,,,,,
,,,,,,,,,173.76,,,,,,,,,,,,,
,,,,,,,,,173.7625,,,,,,,,,,,,,
,,,,,,,,,173.765,,,,,,,,,,,,,
,,,,,,,,,173.7675,,,,,,,,,,,,,
,,,,,,,,,173.77,,,,,,,,,,,,,
,,,,,,,,,173.7725,,,,,,,,,,,,,
,,,,,,,,,173.775,,,,,,,,,,,,,
,,,,,,,,,173.7775,,,,,,,,,,,,,
,,,,,,,,,173.78,,,,,,,,,,,,,
,,,,,,,,,173.7825,,,,,,,,,,,,,
,,,,,,,,,173.785,,,,,,,,,,,,,
,,,,,,,,,173.7875,,,,,,,,,,,,,
,,,,,,,,,173.79,,,,,,,,,,,,,
,,,,,,,,,173.7925,,,,,,,,,,,,,
,,,,,,,,,173.795,,,,,,,,,,,,,
,,,,,,,,,173.7975,,,,,,,,,,,,,
,,,,,,,,,173.8,,,,,,,,,,,,,
,,,,,,,,,173.8025,,,,,,,,,,,,,
,,,,,,,,,173.805,,,,,,,,,,,,,
,,,,,,,,,173.8075,,,,,,,,,,,,,
,,,,,,,,,173.81,,,,,,,,,,,,,
,,,,,,,,,173.8125,,,,,,,,,,,,,
,,,,,,,,,173.815,,,,,,,,,,,,,
,,,,,,,,,173.8175,,,,,,,,,,,,,
,,,,,,,,,173.82,,,,,,,,,,,,,
,,,,,,,,,173.8225,,,,,,,,,,,,,
,,,,,,,,,173.825,,,,,,,,,,,,,
,,,,,,,,,173.8275,,,,,,,,,,,,,
,,,,,,,,,173.83,,,,,,,,,,,,,
,,,,,,,,,173.8325,,,,,,,,,,,,,
,,,,,,,,,173.835,,,,,,,,,,,,,
,,,,,,,,,173.8375,,,,,,,,,,,,,
,,,,,,,,,173.84,,,,,,,,,,,,,
,,,,,,,,,173.8425,,,,,,,,,,,,,
,,,,,,,,,173.845,,,,,,,,,,,,,
,,,,,,,,,173.8475,,,,,,,,,,,,,
,,,,,,,,,173.85,,,,,,,,,,,,,
,,,,,,,,,173.8525,,,,,,,,,,,,,
,,,,,,,,,173.855,,,,,,,,,,,,,
,,,,,,,,,173.8575,,,,,,,,,,,,,
,,,,,,,,,173.86,,,,,,,,,,,,,
,,,,,,,,,173.8625,,,,,,,,,,,,,
,,,,,,,,,173.865,,,,,,,,,,,,,
,,,,,,,,,173.8675,,,,,,,,,,,,,
,,,,,,,,,173.87,,,,,,,,,,,,,
,,,,,,,,,173.8725,,,,,,,,,,,,,
,,,,,,,,,173.875,,,,,,,,,,,,,
,,,,,,,,,173.8775,,,,,,,,,,,,,
,,,,,,,,,173.88,,,,,,,,,,,,,
,,,,,,,,,173.8825,,,,,,,,,,,,,
,,,,,,,,,173.885,,,,,,,,,,,,,
,,,,,,,,,173.8875,,,,,,,,,,,,,
,,,,,,,,,173.89,,,,,,,,,,,,,
,,,,,,,,,173.8925,,,,,,,,,,,,,
,,,,,,,,,173.895,,,,,,,,,,,,,
,,,,,,,,,173.8975,,,,,,,,,,,,,
,,,,,,,,,173.9,,,,,,,,,,,,,
,,,,,,,,,173.9025,,,,,,,,,,,,,
,,,,,,,,,173.905,,,,,,,,,,,,,
,,,,,,,,,173.9075,,,,,,,,,,,,,
,,,,,,,,,173.91,,,,,,,,,,,,,
,,,,,,,,,173.9125,,,,,,,,,,,,,
,,,,,,,,,173.915,,,,,,,,,,,,,
,,,,,,,,,173.9175,,,,,,,,,,,,,
,,,,,,,,,173.92,,,,,,,,,,,,,
,,,,,,,,,173.9225,,,,,,,,,,,,,
,,,,,,,,,173.925,,,,,,,,,,,,,
,,,,,,,,,173.9275,,,,,,,,,,,,,
,,,,,,,,,173.93,,,,,,,,,,,,,
,,,,,,,,,173.9325,,,,,,,,,,,,,
,,,,,,,,,173.935,,,,,,,,,,,,,
,,,,,,,,,173.9375,,,,,,,,,,,,,
,,,,,,,,,173.94,,,,,,,,,,,,,
,,,,,,,,,173.9425,,,,,,,,,,,,,
,,,,,,,,,173.945,,,,,,,,,,,,,
,,,,,,,,,173.9475,,,,,,,,,,,,,
,,,,,,,,,173.95,,,,,,,,,,,,,
,,,,,,,,,173.9525,,,,,,,,,,,,,
,,,,,,,,,173.955,,,,,,,,,,,,,
,,,,,,,,,173.9575,,,,,,,,,,,,,
,,,,,,,,,173.96,,,,,,,,,,,,,
,,,,,,,,,173.9625,,,,,,,,,,,,,
,,,,,,,,,172.475,,,,,,,,,,,,,
,,,,,,,,,172.6,,,,,,,,,,,,,
,,,,,,,,,172.625,,,,,,,,,,,,,
,,,,,,,,,172.775,,,,,,,,,,,,,
,,,,,,,,,173.175,,,,,,,,,,,,,
,,,,,,,,,162.6875,,,,,,,,,,,,,
,,,,,,,,,164.4,,,,,,,,,,,,,
,,,,,,,,,164.65,,,,,,,,,,,,,
,,,,,,,,,164.8875,,,,,,,,,,,,,
,,,,,,,,,165.2125,,,,,,,,,,,,,
,,,,,,,,,165.375,,,,,,,,,,,,,
,,,,,,,,,165.6875,,,,,,,,,,,,,
,,,,,,,,,165.7875,,,,,,,,,,,,,
,,,,,,,,,165.975,,,,,,,,,,,,,
,,,,,,,,,166.1,,,,,,,,,,,,,
,,,,,,,,,166.2,,,,,,,,,,,,,
,,,,,,,,,166.4,,,,,,,,,,,,,
,,,,,,,,,166.5125,,,,,,,,,,,,,
,,,,,,,,,166.525,,,,,,,,,,,,,
,,,,,,,,,166.575,,,,,,,,,,,,,
,,,,,,,,,166.58,,,,,,,,,,,,,
,,,,,,,,,166.65,,,,,,,,,,,,,
,,,,,,,,,166.7,,,,,,,,,,,,,
,,,,,,,,,167.025,,,,,,,,,,,,,
,,,,,,,,,167.05,,,,,,,,,,,,,
,,,,,,,,,167.2,,,,,,,,,,,,,
,,,,,,,,,167.275,,,,,,,,,,,,,
,,,,,,,,,168.725,,,,,,,,,,,,,
,,,,,,,,,171.2875,,,,,,,,,,,,,
